Transaction Date,Service Period Start Date,Service Period End Date,Description,Payment Type,Mop Last 4,Mop Creation Date,Mop Pmt Processor Desc,Item Price Amt,Currency,Tax Amt,Gross Sale Amt,Pmt Txn Type,Pmt Status,Final Invoice Result,Country,Next Billing Date
2024-04-29,,,payment_transaction,UPI,e***@okicici,,,,INR,,649.0,INIT_SALE,APPROVED,,IN,
2024-04-03,2024-04-04,2024-05-03,SUBSCRIPTION,UPI,,,ADYEN-UPI,649.0,INR,99.0,649.0,SALE,APPROVED,SETTLED,IN,2024-05-04
2024-04-03,2024-04-04,2024-05-03,SUBSCRIPTION,UPI,,,ADYEN-UPI,649.0,INR,99.0,649.0,SALE,PENDING,SETTLED,IN,2024-05-04
2024-04-03,2024-04-04,2024-05-03,SUBSCRIPTION,UPI,,,ADYEN-UPI,649.0,INR,99.0,649.0,SALE,NEW,SETTLED,IN,2024-05-04
2024-04-03,,,payment_transaction,UPI,e***@okicici,,,,INR,,649.0,SALE,THROTTLED,,IN,
2024-04-03,,,payment_transaction,UPI,e***@okicici,,,,INR,,649.0,SALE,NEW,,IN,
2024-04-03,,,payment_transaction,UPI,e***@okicici,,,,INR,,649.0,SALE,PENDING,,IN,
2024-04-03,,,payment_transaction,UPI,e***@okicici,,,,INR,,649.0,SALE,APPROVED,,IN,
2024-04-03,2024-04-04,2024-05-03,SUBSCRIPTION,UPI,,,ADYEN-UPI,649.0,INR,99.0,649.0,SALE,THROTTLED,SETTLED,IN,2024-05-04
2024-03-30,,,payment_transaction,UPI,e***@okicici,,,,INR,,649.0,INIT_SALE,APPROVED,,IN,
2024-03-03,2024-03-04,2024-04-03,SUBSCRIPTION,UPI,,,ADYEN-UPI,649.0,INR,99.0,649.0,SALE,NEW,SETTLED,IN,2024-04-04
2024-03-03,2024-03-04,2024-04-03,SUBSCRIPTION,UPI,,,ADYEN-UPI,649.0,INR,99.0,649.0,SALE,APPROVED,SETTLED,IN,2024-04-04
2024-03-03,,,payment_transaction,UPI,e***@okicici,,,,INR,,649.0,SALE,PENDING,,IN,
2024-03-03,,,payment_transaction,UPI,e***@okicici,,,,INR,,649.0,SALE,APPROVED,,IN,
2024-03-03,,,payment_transaction,UPI,e***@okicici,,,,INR,,649.0,SALE,NEW,,IN,
2024-03-03,2024-03-04,2024-04-03,SUBSCRIPTION,UPI,,,ADYEN-UPI,649.0,INR,99.0,649.0,SALE,PENDING,SETTLED,IN,2024-04-04
2024-02-28,,,payment_transaction,UPI,e***@okicici,,,,INR,,649.0,INIT_SALE,APPROVED,,IN,
2024-02-03,,,payment_transaction,UPI,e***@okicici,,,,INR,,649.0,SALE,PENDING,,IN,
2024-02-03,2024-02-04,2024-03-03,SUBSCRIPTION,UPI,,,ADYEN-UPI,649.0,INR,99.0,649.0,SALE,NEW,SETTLED,IN,2024-03-04
2024-02-03,,,payment_transaction,UPI,e***@okicici,,,,INR,,649.0,SALE,APPROVED,,IN,
2024-02-03,,,payment_transaction,UPI,e***@okicici,,,,INR,,649.0,SALE,NEW,,IN,
2024-02-03,2024-02-04,2024-03-03,SUBSCRIPTION,UPI,,,ADYEN-UPI,649.0,INR,99.0,649.0,SALE,APPROVED,SETTLED,IN,2024-03-04
2024-02-03,2024-02-04,2024-03-03,SUBSCRIPTION,UPI,,,ADYEN-UPI,649.0,INR,99.0,649.0,SALE,PENDING,SETTLED,IN,2024-03-04
2024-01-30,,,payment_transaction,UPI,e***@okicici,,,,INR,,649.0,INIT_SALE,APPROVED,,IN,
2024-01-03,2024-01-04,2024-02-03,SUBSCRIPTION,UPI,,,ADYEN-UPI,649.0,INR,99.0,649.0,SALE,APPROVED,SETTLED,IN,2024-02-04
2024-01-03,2024-01-04,2024-02-03,SUBSCRIPTION,UPI,,,ADYEN-UPI,649.0,INR,99.0,649.0,SALE,NEW,SETTLED,IN,2024-02-04
2024-01-03,,,payment_transaction,UPI,e***@okicici,,,,INR,,649.0,SALE,NEW,,IN,
2024-01-03,2024-01-04,2024-02-03,SUBSCRIPTION,UPI,,,ADYEN-UPI,649.0,INR,99.0,649.0,SALE,PENDING,SETTLED,IN,2024-02-04
2024-01-03,,,payment_transaction,UPI,e***@okicici,,,,INR,,649.0,SALE,APPROVED,,IN,
2024-01-03,,,payment_transaction,UPI,e***@okicici,,,,INR,,649.0,SALE,PENDING,,IN,
2023-12-30,,,payment_transaction,UPI,e***@okicici,,,,INR,,649.0,INIT_SALE,APPROVED,,IN,
2023-12-03,2023-12-04,2024-01-03,SUBSCRIPTION,UPI,,,ADYEN-UPI,649.0,INR,99.0,649.0,SALE,PENDING,SETTLED,IN,2024-01-04
2023-12-03,,,payment_transaction,UPI,e***@okicici,,,,INR,,649.0,SALE,APPROVED,,IN,
2023-12-03,2023-12-04,2024-01-03,SUBSCRIPTION,UPI,,,ADYEN-UPI,649.0,INR,99.0,649.0,SALE,NEW,SETTLED,IN,2024-01-04
2023-12-03,2023-12-04,2024-01-03,SUBSCRIPTION,UPI,,,ADYEN-UPI,649.0,INR,99.0,649.0,SALE,APPROVED,SETTLED,IN,2024-01-04
2023-12-03,,,payment_transaction,UPI,e***@okicici,,,,INR,,649.0,SALE,NEW,,IN,
2023-12-03,,,payment_transaction,UPI,e***@okicici,,,,INR,,649.0,SALE,PENDING,,IN,
2023-11-29,,,payment_transaction,UPI,e***@okicici,,,,INR,,649.0,INIT_SALE,APPROVED,,IN,
2023-11-03,2023-11-04,2023-12-03,SUBSCRIPTION,UPI,,,ADYEN-UPI,649.0,INR,99.0,649.0,SALE,NEW,SETTLED,IN,2023-12-04
2023-11-03,,,payment_transaction,UPI,e***@okicici,,,,INR,,649.0,SALE,PENDING,,IN,
2023-11-03,,,payment_transaction,UPI,e***@okicici,,,,INR,,649.0,SALE,APPROVED,,IN,
2023-11-03,2023-11-04,2023-12-03,SUBSCRIPTION,UPI,,,ADYEN-UPI,649.0,INR,99.0,649.0,SALE,APPROVED,SETTLED,IN,2023-12-04
2023-11-03,2023-11-04,2023-12-03,SUBSCRIPTION,UPI,,,ADYEN-UPI,649.0,INR,99.0,649.0,SALE,PENDING,SETTLED,IN,2023-12-04
2023-11-03,,,payment_transaction,UPI,e***@okicici,,,,INR,,649.0,SALE,NEW,,IN,
2023-10-30,,,payment_transaction,UPI,e***@okicici,,,,INR,,649.0,INIT_SALE,APPROVED,,IN,
2023-10-03,,,payment_transaction,UPI,e***@okicici,,,,INR,,649.0,SALE,APPROVED,,IN,
2023-10-03,2023-10-04,2023-11-03,SUBSCRIPTION,UPI,,,ADYEN-UPI,649.0,INR,99.0,649.0,SALE,PENDING,SETTLED,IN,2023-11-04
2023-10-03,2023-10-04,2023-11-03,SUBSCRIPTION,UPI,,,ADYEN-UPI,649.0,INR,99.0,649.0,SALE,APPROVED,SETTLED,IN,2023-11-04
2023-10-03,,,payment_transaction,UPI,e***@okicici,,,,INR,,649.0,SALE,NEW,,IN,
2023-10-03,,,payment_transaction,UPI,e***@okicici,,,,INR,,649.0,SALE,PENDING,,IN,
2023-10-03,2023-10-04,2023-11-03,SUBSCRIPTION,UPI,,,ADYEN-UPI,649.0,INR,99.0,649.0,SALE,NEW,SETTLED,IN,2023-11-04
2023-09-29,,,payment_transaction,UPI,e***@okicici,,,,INR,,649.0,INIT_SALE,APPROVED,,IN,
2023-09-03,2023-09-04,2023-10-03,SUBSCRIPTION,UPI,,,ADYEN-UPI,649.0,INR,99.0,649.0,SALE,NEW,SETTLED,IN,2023-10-04
2023-09-03,2023-09-04,2023-10-03,SUBSCRIPTION,UPI,,,ADYEN-UPI,649.0,INR,99.0,649.0,SALE,APPROVED,SETTLED,IN,2023-10-04
2023-09-03,,,payment_transaction,UPI,e***@okicici,,,,INR,,649.0,SALE,APPROVED,,IN,
2023-09-03,,,payment_transaction,UPI,e***@okicici,,,,INR,,649.0,SALE,PENDING,,IN,
2023-09-03,,,payment_transaction,UPI,e***@okicici,,,,INR,,649.0,SALE,NEW,,IN,
2023-09-03,2023-09-04,2023-10-03,SUBSCRIPTION,UPI,,,ADYEN-UPI,649.0,INR,99.0,649.0,SALE,PENDING,SETTLED,IN,2023-10-04
2023-08-30,,,payment_transaction,UPI,e***@okicici,,,,INR,,649.0,INIT_SALE,APPROVED,,IN,
2023-08-03,,,payment_transaction,UPI,e***@okicici,,,,INR,,649.0,SALE,APPROVED,,IN,
2023-08-03,2023-08-04,2023-09-03,SUBSCRIPTION,UPI,,,ADYEN-UPI,649.0,INR,99.0,649.0,SALE,PENDING,SETTLED,IN,2023-09-04
2023-08-03,,,payment_transaction,UPI,e***@okicici,,,,INR,,649.0,SALE,NEW,,IN,
2023-08-03,2023-08-04,2023-09-03,SUBSCRIPTION,UPI,,,ADYEN-UPI,649.0,INR,99.0,649.0,SALE,NEW,SETTLED,IN,2023-09-04
